FZIPU0,A2U5DNTSCAKY1P,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 5,start: 2016-06-22 10:35:32.025172,1111100000,trial1belief0:2.64616385991e-05,trial1belief1:0.526086054895,trial1belief2:0.415121098439,trial1belief3:0.0587663850015,trial1belief4:2.65146413672e-11,firstFinish: 2016-06-22 10:36:30.882955,timeDelta: 58.857783,trustRate2: 2,round two,secondStart: 2016-06-22 10:36:45.853165,0,1100000,secondfinish: 2016-06-22 10:37:19.076650,timeDelta2: 33.223485,trial2belief0:3.11360443849e-10,trial2belief1:0.291423858004,trial2belief2:0.611175639442,trial2belief3:0.0974005022416,trial2belief4:3.11672115965e-13,0,0,0,Trust,Male,40,Yes,I tried it but HERB would not rotate counterclockwise.  ,Maybe programmed to have human lead or move only in clockwise position.,2,2,3,4,3,2,4,1,2,4
XJP003,AM5XW4DZLA6OC,172.19.179.66,radioChoice: humanFacingRoom,trustRate1: 4,start: 2016-06-22 10:38:08.299728,0,trial1belief0:0.2,trial1belief1:0.2,trial1belief2:0.2,trial1belief3:0.2,trial1belief4:0.2,firstFinish: 2016-06-22 10:38:51.013906,timeDelta: 42.714178,trustRate2: 5,round two,secondStart: 2016-06-22 10:39:01.081300,0,secondfinish: 2016-06-22 10:40:27.480028,timeDelta2: 86.398728,trial2belief0:0.2,trial2belief1:0.2,trial2belief2:0.2,trial2belief3:0.2,trial2belief4:0.2,Trust,Male,32,Yes,I tried to go through the door first and it is how I did the task,because it thought it would be best to go the way I wanted as well,5,5,4,1,5,5,1,5,5,5,,,,
Q30OXC,AZ3WWW0H9RQVL,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 3,start: 2016-06-22 10:30:39.145334,100000,trial1belief0:0.0004,trial1belief1:0.1002,trial1belief2:0.2,trial1belief3:0.2998,trial1belief4:0.3996,firstFinish: 2016-06-22 10:31:33.445587,timeDelta: 54.300253,trustRate2: 4,round two,secondStart: 2016-06-22 10:31:42.490077,0,secondfinish: 2016-06-22 10:32:06.512427,timeDelta2: 24.02235,trial2belief0:0.0004,trial2belief1:0.1002,trial2belief2:0.2,trial2belief3:0.2998,trial2belief4:0.3996,Trust,Female,25,Yes,Yes,It followed directions,4,4,5,2,5,5,1,4,5,5,,,,
JO48NP,A13S51CM86QRBD,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 2,start: 2016-06-22 10:31:02.544684,1100000,trial1belief0:3.18407643058e-06,trial1belief1:0.149901194427,trial1belief2:0.398407961785,trial1belief3:0.448506767358,trial1belief4:0.00318089235415,firstFinish: 2016-06-22 10:32:12.674383,timeDelta: 70.129699,trustRate2: 4,round two,secondStart: 2016-06-22 10:32:21.010353,100000,secondfinish: 2016-06-22 10:32:51.603146,timeDelta2: 30.592793,trial2belief0:5.52706829351e-09,trial2belief1:0.0651814729682,trial2belief2:0.3457875559,trial2belief3:0.58351494592,trial2belief4:0.00551601968399,Trust,Male,25,Yes,Herb was facing backwards toward the door like I chose,It was programmed to only turn one way,4,4,2,4,4,2,4,4,4,4,,,,
KQGU0I,A365XWY0OZ3MU0,172.19.179.66,radioChoice: humanFacingRoom,trustRate1: 1,start: 2016-06-22 10:43:05.795825,111110000,trial1belief0:2.64616385991e-05,trial1belief1:0.526086054895,trial1belief2:0.415121098439,trial1belief3:0.0587663850015,trial1belief4:2.65146413672e-11,firstFinish: 2016-06-22 10:44:24.107848,timeDelta: 78.312023,trustRate2: 4,round two,secondStart: 2016-06-22 10:44:29.930896,0,secondfinish: 2016-06-22 10:44:54.420714,timeDelta2: 24.489818,trial2belief0:2.64616385991e-05,trial2belief1:0.526086054895,trial2belief2:0.415121098439,trial2belief3:0.0587663850015,trial2belief4:2.65146413672e-11,Trust,Female,20,No,I forgot and kept trying to turn the table the opposite way,Maybe based off my starting preference,5,5,3,5,4,2,5,3,3,4,,,,
458GLY,A36LUWTJSG11W4,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 4,start: 2016-06-22 10:31:45.047550,110110000,trial1belief0:3.45445754385e-08,trial1belief1:0.229309209376,trial1belief2:0.541381512159,trial1belief3:0.229309209376,trial1belief4:3.45445754385e-08,firstFinish: 2016-06-22 10:33:01.917293,timeDelta: 76.869743,trustRate2: 3,round two,secondStart: 2016-06-22 10:33:13.862487,100000,secondfinish: 2016-06-22 10:33:49.245691,timeDelta2: 35.383204,trial2belief0:6.90891508769e-11,trial2belief1:0.114883913897,trial2belief2:0.541381512159,trial2belief3:0.343734504854,trial2belief4:6.9020061726e-08,Trust,Female,22,No,HERB couldnt turn right so I had to go out first,programming,3,3,4,4,4,4,3,4,4,4,,,,
VZHFMF,A2YO3X72DQU4LS,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 4,start: 2016-06-22 10:36:08.861114,1100010,trial1belief0:3.18407643058e-06,trial1belief1:0.149901194427,trial1belief2:0.398407961785,trial1belief3:0.448506767358,trial1belief4:0.00318089235415,firstFinish: 2016-06-22 10:37:46.325616,timeDelta: 97.464502,trustRate2: 4,round two,secondStart: 2016-06-22 10:37:56.969305,100000,secondfinish: 2016-06-22 10:38:33.331248,timeDelta2: 36.361943,trial2belief0:5.52706829351e-09,trial2belief1:0.0651814729682,trial2belief2:0.3457875559,trial2belief3:0.58351494592,trial2belief4:0.00551601968399,Trust,Male,26,No,I chose right but when I started I ended up picking the button on the left.,When a robot is programmed to follow a task they tend to be focused on that one particular goal. They can have one track minds at times.,4,4,3,1,4,3,2,5,4,4,,,,
OM5D2J,A2C39KTRMOM1XZ,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 4,start: 2016-06-22 10:32:01.707502,10101000,trial1belief0:6.41538151873e-10,trial1belief1:0.0100842981933,trial1belief2:0.0801922689841,trial1belief3:0.270107970791,trial1belief4:0.63961546139,firstFinish: 2016-06-22 10:33:22.820145,timeDelta: 81.112643,trustRate2: 4,round two,secondStart: 2016-06-22 10:33:29.634332,0,secondfinish: 2016-06-22 10:34:00.467329,timeDelta2: 30.832997,trial2belief0:6.41538151873e-10,trial2belief1:0.0100842981933,trial2belief2:0.0801922689841,trial2belief3:0.270107970791,trial2belief4:0.63961546139,Trust,Female,50,Yes,I tried to,he had commands to do it that way,4,4,4,4,4,4,1,4,4,4,,,,
V6FZEE,A2WLGVXAVT2XTR,172.19.179.66,radioChoice: humanFacingRoom,trustRate1: 4,start: 2016-06-22 10:49:56.888869,1100000,trial1belief0:3.18407643058e-06,trial1belief1:0.149901194427,trial1belief2:0.398407961785,trial1belief3:0.448506767358,trial1belief4:0.00318089235415,firstFinish: 2016-06-22 10:50:58.214243,timeDelta: 61.325374,trustRate2: 4,round two,secondStart: 2016-06-22 10:51:06.087922,0,secondfinish: 2016-06-22 10:51:29.277470,timeDelta2: 23.189548,trial2belief0:3.18407643058e-06,trial2belief1:0.149901194427,trial2belief2:0.398407961785,trial2belief3:0.448506767358,trial2belief4:0.00318089235415,Trust,Male,60,Yes,I completed it the way I wanted.,It could only turn one direction.,4,4,2,5,4,2,5,5,3,3,,,,
ALAY3E,AEK2CJMRPTBN5,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 3,start: 2016-06-22 10:57:44.045154,11010000,trial1belief0:7.50365784615e-06,trial1belief1:0.265033505628,trial1belief2:0.469917981429,trial1belief3:0.265033505628,trial1belief4:7.50365784615e-06,firstFinish: 2016-06-22 10:58:59.871345,timeDelta: 75.826191,trustRate2: 4,round two,secondStart: 2016-06-22 10:59:05.895683,0,secondfinish: 2016-06-22 10:59:28.671443,timeDelta2: 22.77576,trial2belief0:7.50365784615e-06,trial2belief1:0.265033505628,trial2belief2:0.469917981429,trial2belief3:0.265033505628,trial2belief4:7.50365784615e-06,Trust,Female,20,Yes,yes robot what the first to go out the door,because it knew what way to go,4,4,4,5,5,5,1,3,5,4,,,,
CS60H6,A2ZE2IPHK152KA,172.19.179.66,radioChoice: humanFacingRoom,trustRate1: 2,start: 2016-06-22 10:37:49.222952,1.11011E+53,trial1belief0:0.000330768458119,trial1belief1:0.999669192974,trial1belief2:3.85678469924e-08,trial1belief3:3.8148766004e-22,trial1belief4:3.46000812496e-139,firstFinish: 2016-06-22 10:58:14.629166,timeDelta: 1225.406214,trustRate2: 2,round two,secondStart: 2016-06-22 10:58:21.979401,0,secondfinish: 2016-06-22 10:58:42.377234,timeDelta2: 20.397833,trial2belief0:0.000330768458119,trial2belief1:0.999669192974,trial2belief2:3.85678469924e-08,trial2belief3:3.8148766004e-22,trial2belief4:3.46000812496e-139,Trust,Female,28,Yes,The task took longer because of my starting preference.,The robot was programmed that way.,2,2,1,1,3,1,4,1,1,1,,,,
